@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
5000,4.34,719,15348,40000,High
12350,4.03,5929,15006,98800,High
12350,3.41,5781,32923,98800,High
12350,4.23,4421,18910,222300,High
100,3.54,57,2399,393,Low
100,3.12,25,7076,1100,Low
1000,4.37,578,17816,8000,Medium
100,4.33,3,38258,1100,Low
100,5,0,6,1200,Low
100,3.56,71,2782,1100,Low
100,3.96,98,5070,1100,Low
50,4.25,4,28,150,Low
5000,3.51,747,5019,25000,High
1000,4.74,47,4773,9000,Medium
1000,3.61,233,32858,8000,Medium
12350,3.88,6360,40616,111150,High
12350,3.73,8609,32394,135850,High
12350,3.53,3572,11965,135850,High
10000,4.34,3079,9661,70000,High
100,4.4,10,3791,393,Low
100,3.67,18,12309,700,Low
100,4,13,129,800,Low
10,2.25,4,72,37,Low
1000,4.11,439,14298,8000,Medium
100,3.9,21,189,394,Low
1000,4.41,277,1038,15000,Medium
1000,3.74,149,55499,5000,Medium
100,2.88,82,7497,467,Low
100,3.29,49,168,1100,Low
5000,3.26,531,7069,29500,High
5000,3.65,878,3915,45000,High
100,3.88,69,37753,1600,Low
10000,4.34,1669,2736,60000,High
1000,3.67,450,12322,16000,Medium
1000,3.34,95,3804,3760,Medium
1000,4.01,270,2212,8000,Medium
100,3.13,45,364,1100,Low
100,3.33,3,619,800,Low
1000,4.05,614,45151,12000,Medium
5000,4.07,775,42919,40000,High
100,3.32,28,1151,1100,Low
10000,3.94,2557,32168,50000,High
1000,3.77,404,25093,5000,Medium
1000,3.8,46,1685,7000,Medium
5000,4.02,1269,39395,40000,High
3,5,0,4150,45,Low
100,4.15,27,18529,700,Low
5000,3.97,1020,165915,65000,High
100,3.69,29,3300,900,Low
100,3,45,9857,500,Low
1000,4.24,254,90105,14000,Medium
10000,3.94,1116,3977,70000,High
10000,4.07,2328,22173,130000,High
1000,4.03,31,31138,2000,Medium
100,4.4,86,31138,473,Low
12350,3.42,7596,58068,135850,High
5000,4,1355,3532,40000,High
5000,4.05,784,213709,23700,High
10000,3.28,1649,6818,80000,High
100,3.83,6,211,800,Low
100,3.47,34,11030,800,Low
100,3.21,48,2363,595,Low
100,3.38,8,8888,365,Low
5000,3.91,940,42919,14050,High
10000,4.28,1594,85562,46600,High
1000,4.23,62,10501,5000,Medium
1000,3.53,302,4524,13000,Medium
5000,4.3,830,9200,40000,High
100,3.5,2,59234,800,Low
100,4.07,30,16803,700,Low
1000,3.37,928,2397,12000,Medium
1000,3.68,155,10600,5000,Medium
1000,3.88,122,114,13000,Medium
10000,4.15,2514,27719,140000,High
10000,3.48,2504,25260,70000,High
12350,3.74,6509,11740,74100,High
5000,4.1,1512,92005,40000,High
100,3.69,13,16215,500,Low
10,5,0,28798,56.5,Low
50,3.5,8,3730,188,Low
100,4.57,23,105684,700,Low
10000,4.28,936,96838,46700,High
100,3.17,6,4595,280,Low
10,4.5,4,676,160,Low
100,3.63,92,3190,900,Low
5000,3.83,1169,33705,35000,High
100,4,11,3588,1600,Low
50,4,5,537,450,Low
100,2,3,12016,300,Low
5000,3.83,1458,67171,30000,High
1000,3.93,566,44840,12000,Medium
100,3.8,10,3897,600,Low
5000,3.97,588,1181,45000,High
12350,3.6,1193,22711,111150,High
100,3.06,65,2248,500,Low
100,3.41,27,9940,1600,Low
12350,3.76,8029,17760,135850,High
100,3.43,23,24132,800,Low
10000,3.55,793,59234,70000,High
1000,3.82,176,99800,14000,Medium
100,3.72,47,17655,700,Low
100,2.79,14,7012,800,Low
1000,3.91,102,2076,8000,Medium
1000,4.08,546,62240,14000,Medium
5000,3.47,536,17120,30000,High
12350,3.63,2633,12441,135850,High
1000,4.19,54,65189,8000,Medium
10,4,2,514,140,Low
100,2.79,19,9357,500,Low
100,4.25,20,360,1100,Low
3,5,0,11378,14.43,Low
100,3.51,47,9827,900,Low
10,2,2,528,110,Low
1000,3.85,398,3727,12000,Medium
1000,4.09,538,2464,6000,Medium
100,4.53,43,4501,387,Low
1000,3.75,213,17120,11000,Medium
100,3.8,50,230,1400,Low
10000,3.91,3101,12004,90000,High
5000,3.08,777,10474,45000,High
10000,3.01,1322,17120,120000,High
10000,4.09,2324,14095,110000,High
1000,3.67,585,16085,11000,Medium
1000,3.95,596,5534,11000,Medium
12350,2.93,3421,200089,160550,High
100,2.9,62,2044,577,Low
100,3.91,43,10474,500,Low
5000,3.34,1897,5660,55000,High
100,3.47,55,7851,600,Low
1000,3.34,252,15948,5000,Medium
1000,3.47,378,4434,8000,Medium
1000,3.28,141,12309,7000,Medium
10000,3.25,1276,6158,120000,High
100,3.67,12,111,200,Low
100,3.1,21,22615,400,Low
10000,3.75,1520,2975,110000,High
100,3.49,55,3276,1300,Low
10000,4.35,3279,110548,60000,High
100,3.68,40,4758,1200,Low
5000,3.96,247,31916,60000,High
100,4.09,150,14291,1400,Low
100,4.38,8,120,1100,Low
100,4.23,44,878,1400,Low
1000,3.37,238,28694,9000,Medium
100,3.8,10,247,1100,Low
5000,3.47,835,21012,18500,High
10000,4.02,840,42919,90000,High
1000,4.18,142,31138,3850,Medium
1000,3.49,154,5422,8000,Medium
1000,3.87,186,288,14000,Medium
12350,3.64,3397,402743,135850,High
5000,3.75,506,2127,30000,High
5000,3.39,1248,14194,40000,High
10000,3.61,2366,59903,57400,High
1000,4.13,143,1055,2000,Medium
1000,3.81,166,6357,8000,Medium
1000,4.19,81,126370,2000,Medium
5000,3.13,908,2127,55000,High
12350,3.56,3929,33839,135850,High
5000,3.7,296,18138,25000,High
100,3.7,27,104,900,Low
5000,3.68,856,5083,45000,High
100,3.95,65,1047,700,Low
12350,4.1,4874,20681,111150,High
5000,3.59,1329,246312,55000,High
100,2.57,7,12919,200,Low
12350,3.61,5891,14553,172900,High
10000,3.86,2092,5534,70000,High
10000,3.66,1467,8563,80000,High
10000,3.87,2731,16447,130000,High
10000,4.13,1312,7356,80000,High
8,5,0,626,64,Low
1000,3.8,75,3762,11000,Medium
100,3.97,30,10600,500,Low
100,4.26,27,36,575,Low
5000,3.32,743,4178,40000,High
50,4,4,139788,300,Low
12350,3.78,2729,4336,135850,High
1000,3.96,164,12309,5650,Medium
5000,4.14,555,9678,40000,High
5000,3.6,763,5995,25000,High
10000,4.05,1479,5816,110000,High
100,4.67,6,29977,1878.5,Low
100,4.83,6,231,500,Low
100,2.92,24,8443,466,Low
1000,3.4,255,18762,18785,Medium
100,3.86,118,8117,1878.5,Low
100,3.84,51,1078,900,Low
1000,3.41,106,2044,6000,Medium
100,3.92,25,7328,1400,Low
12350,3.66,1103,4107,231994.75,High
1000,2.98,108,942,8000,Medium
10000,4.34,3075,17621,160000,High
1000,3.74,582,32858,14000,Medium
2,5,0,693,32,Low
1000,4.18,668,5226,8000,Medium
5000,4.22,827,14275,45000,High
100,4.23,65,3520,1400,Low
10000,3.76,1546,55499,110000,High
1000,3.96,382,51369,15000,Medium
10,5,0,3,57.5,Low
1000,3.29,99,88193,9000,Medium
1000,3.21,362,5914,6000,Medium
10000,4.09,1087,4019,80000,High
1000,3.69,182,3396,5730,Medium
12350,3.9,3700,9492,98800,High
1000,3.35,85,3668,11000,Medium
50,3.67,6,519,400,Low
10,5,2,46,70,Low
12350,4,10927,13665,49400,High
100,3.22,9,111,1300,Low
1000,4.15,153,15551,12000,Medium
5000,3.55,876,27175,28900,High
